-180,-0.7,0,0.024064
-170,-0.68937,-0.12155,-0.0087157
-160,-0.65778,-0.23941,-0.03325
-150,-0.60622,-0.35,-0.04916
-140,-0.53623,-0.44995,-0.056558
-130,-0.44995,-0.53623,-0.056029
-120,-0.35,-0.60622,-0.04859
-110,-0.23941,-0.65778,-0.035622
-100,-0.12155,-0.68937,-0.0188
-90,1.2859e-16,-0.7,-4.4205e-18
-80,0.12155,-0.68937,0.0188
-70,0.23941,-0.65778,0.035622
-60,0.35,-0.60622,0.04859
-50,0.44995,-0.53623,0.056029
-40,0.53623,-0.44995,0.056558
-30,0.60622,-0.35,0.04916
-20,0.65778,-0.23941,0.03325
-10,0.68937,-0.12155,0.0087157
0,0.7,8.5725e-17,-0.024064
10,0.68937,0.12155,-0.056113
20,0.65778,0.23941,-0.078476
30,0.60622,0.35,-0.09084
40,0.53623,0.44995,-0.093426
50,0.44995,0.53623,-0.086966
60,0.35,0.60622,-0.072654
70,0.23941,0.65778,-0.052083
80,0.12155,0.68937,-0.027158
90,-4.2863e-17,0.7,1.4735e-18
100,-0.12155,0.68937,0.027158
110,-0.23941,0.65778,0.052083
120,-0.35,0.60622,0.072654
130,-0.44995,0.53623,0.086966
140,-0.53623,0.44995,0.093426
150,-0.60622,0.35,0.09084
160,-0.65778,0.23941,0.078476
170,-0.68937,0.12155,0.056113
180,-0.7,0,0.024064
